,Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,Model
854,Mitsubishi,14999.0,crossover,115,3.0,Petrol,yes,2008,Passat B5
855,Volkswagen,10600.0,van,140,2.0,Diesel,yes,2011,E-Class
856,Audi,34000.0,crossover,119,2.0,Diesel,yes,2013,Avensis
857,BMW,33500.0,sedan,65,2.0,Petrol,yes,2013,Outlander XL
858,Audi,22800.0,sedan,122,2.0,Petrol,yes,2011,Jetta
859,BMW,66666.0,crossover,0,2.0,Diesel,yes,2016,T5 (Transporter) 
860,Audi,18500.0,crossover,185,3.6,Petrol,yes,2008,528
861,Volkswagen,17900.0,sedan,192,2.5,Diesel,yes,2007,Vito
862,Mercedes-Benz,6950.0,other,190,2.2,Diesel,yes,1999,320
863,Mercedes-Benz,105000.0,crossover,1,3.0,Diesel,yes,2016,Q7
864,Renault,11999.0,van,107,2.0,Diesel,yes,2013,Passat B7
865,Renault,8000.0,van,189,1.9,Diesel,yes,2005,A6
866,BMW,4600.0,sedan,280,3.0,Other,no,1999,Land Cruiser 80
867,Renault,7400.0,vagon,242,1.5,Diesel,yes,2007,Trafic
868,Audi,27500.0,crossover,147,3.0,Diesel,yes,2008,Kangoo
869,Toyota,27500.0,crossover,85,4.0,Petrol,yes,2007,Camry
870,Volkswagen,9800.0,van,196,1.6,Diesel,yes,2011,T5 (Transporter) 
871,Volkswagen,21000.0,crossover,173,3.0,Diesel,yes,2008,Sharan
872,Audi,9000.0,vagon,199,2.7,Petrol,yes,2003,E-Class
873,Audi,55000.0,crossover,100,6.0,Diesel,yes,2009,T5 (Transporter)
874,Mercedes-Benz,38900.0,crossover,65,4.5,Petrol,yes,2010,A6
875,Renault,4000.0,sedan,180,1.4,Gas,yes,2006,Touareg
876,Toyota,13300.0,sedan,152,2.0,Petrol,yes,2009,Jetta
877,Volkswagen,34500.0,crossover,108,3.0,Diesel,yes,2012,Kangoo
878,BMW,24999.0,vagon,24,2.0,Petrol,yes,2012,Fluence
879,Volkswagen,9750.0,hatch,130,1.4,Petrol,yes,2005,A6
880,BMW,5900.0,sedan,390,1.8,Gas,yes,1996,A6
881,Volkswagen,6500.0,van,290,1.9,Diesel,yes,2004,Q7
882,Volkswagen,11000.0,vagon,127,1.6,Diesel,yes,2012,1 Series
883,Mercedes-Benz,18800.0,sedan,320,5.0,Petrol,yes,1998,Caravelle
884,Volkswagen,13700.0,van,222,2.0,Diesel,yes,2011,Caddy
885,Volkswagen,8500.0,van,184,2.0,Diesel,yes,2007,X5
886,Volkswagen,19100.0,sedan,4,1.6,Other,yes,2016,Caddy
887,Renault,10200.0,hatch,70,1.5,Diesel,yes,2013,Auris
888,BMW,7800.0,sedan,310,2.0,Gas,yes,2000,E-Class
889,Mercedes-Benz,9150.0,sedan,273,2.7,Diesel,yes,2000,Bora
890,Renault,7900.0,van,268,1.5,Diesel,yes,2008,Golf IV
891,Toyota,72000.0,crossover,40,4.5,Diesel,yes,2014,Vito
892,Mercedes-Benz,49500.0,crossover,52,3.0,Diesel,yes,2013,S 500
893,Volkswagen,45000.0,sedan,90,3.0,Diesel,yes,2011,Kangoo
894,Renault,8300.0,van,141,2.0,Diesel,yes,2011,S 500
895,Renault,5100.0,vagon,156,1.5,Diesel,yes,2006,Grandis
896,Toyota,15300.0,other,116,2.4,Petrol,yes,2009,520
897,Volkswagen,7300.0,van,142,2.0,Diesel,yes,2006,Avensis
898,Toyota,14700.0,hatch,98,1.6,Gas,yes,2013,Caddy
899,Mercedes-Benz,7900.0,other,197,2.2,Diesel,yes,2003,T4 (Transporter)
900,Volkswagen,2900.0,vagon,243,1.9,Diesel,no,1999,A6
901,BMW,3200.0,sedan,237,2.5,Petrol,yes,1990,Tundra
902,Mercedes-Benz,4400.0,sedan,160,2.7,Diesel,no,2000,Vito
903,Toyota,20800.0,crossover,107,4.0,Petrol,yes,2006,X6
904,Toyota,27800.0,crossover,98,2.2,Diesel,yes,2013,Lancer X
905,Audi,16500.0,vagon,171,2.0,Diesel,yes,2008,525
906,Renault,10500.0,van,67,1.6,Petrol,yes,2012,525
907,Mitsubishi,16999.0,crossover,107,3.0,Gas,yes,2008,Vito
908,Audi,35000.0,sedan,92,2.8,Petrol,yes,2013,Vito
909,Mercedes-Benz,21500.0,crossover,142,3.5,Petrol,yes,2008,B 180
910,Mercedes-Benz,15800.0,other,264,2.2,Other,yes,2009,G 500
911,BMW,75555.0,sedan,30,4.4,Petrol,yes,2014,Land Cruiser Prado
912,Toyota,8900.0,other,180,2.0,Petrol,yes,2003,T5 (Transporter)
913,Renault,6300.0,vagon,189,1.5,Diesel,yes,2008,530
914,Mitsubishi,20500.0,crossover,109,3.2,Diesel,yes,2009,A6
915,Volkswagen,11300.0,van,165,1.9,Diesel,yes,2010,Passat B6
916,Volkswagen,42500.0,crossover,63,3.0,Diesel,yes,2014,Passat B6
917,Toyota,28000.0,crossover,95,3.5,Gas,yes,2011,E-Class
918,Mitsubishi,17500.0,crossover,38,1.8,Petrol,yes,2012,ML 350
919,Volkswagen,7800.0,van,282,2.5,Diesel,yes,2000,Passat B5
920,Mercedes-Benz,74999.0,crossover,1,2.2,Diesel,yes,2016,S 500
921,Renault,10200.0,other,39,1.5,Diesel,yes,2014,X5
922,BMW,22500.0,sedan,179,3.0,Diesel,yes,2007,T4 (Transporter)
923,Mercedes-Benz,52777.0,sedan,60,3.0,Diesel,yes,2012,Sprinter 312
924,Toyota,14250.0,van,127,3.5,Other,yes,2007,Pajero Sport
925,Toyota,26200.0,crossover,156,4.0,Gas,yes,2007,750
926,Volkswagen,9800.0,van,299,2.5,Diesel,yes,2002,GL 350
927,Mercedes-Benz,47600.0,van,0,2.2,Diesel,yes,2016,Q7
928,Volkswagen,8700.0,other,357,2.5,Diesel,yes,2003,Vito
929,BMW,30500.0,crossover,147,3.0,Diesel,yes,2008,C-Class
930,Renault,11700.0,vagon,177,1.5,Diesel,yes,2012,X3
931,Mercedes-Benz,6400.0,hatch,177,2.0,Diesel,no,2008,A3
932,BMW,36400.0,crossover,80,3.0,Petrol,yes,2011,530
933,Audi,75000.0,crossover,0,3.0,Diesel,yes,2015,A4
934,Volkswagen,6000.0,hatch,195,1.2,Gas,yes,2004,Passat B5
935,Mercedes-Benz,4900.0,van,248,2.2,Diesel,yes,2003,Hilux
936,Mercedes-Benz,6999.0,sedan,288,3.2,Gas,yes,2001,T4 (Transporter)
937,Volkswagen,9900.0,other,171,1.6,Diesel,yes,2011,ML 350
938,Volkswagen,3500.0,sedan,189,1.8,Petrol,yes,1993,530
939,BMW,1750.0,vagon,200,2.0,Petrol,no,2000,E-Class
940,Renault,4600.0,sedan,230,1.5,Diesel,yes,2007,T4 (Transporter)
941,Volkswagen,9800.0,van,220,1.9,Diesel,yes,2008,Golf V
942,Renault,5950.0,van,135,1.5,Diesel,yes,2012,A8
943,Renault,7400.0,van,120,1.5,Diesel,yes,2012,Pajero Wagon
944,Audi,12800.0,sedan,217,1.8,Petrol,yes,2007,E-Class
945,Volkswagen,9000.0,sedan,59,1.6,Gas,yes,2013,Vito
946,Mitsubishi,18600.0,crossover,52,2.0,Petrol,yes,2013,CLA 200
947,BMW,3900.0,sedan,340,2.5,Diesel,no,2000,Vito
948,Audi,92222.0,crossover,0,3.0,Diesel,yes,2016,Golf III
949,Volkswagen,5400.0,other,314,2.4,Diesel,yes,1993,T5 (Transporter)
950,Audi,16000.0,sedan,250,2.0,Diesel,yes,2008,Q3
951,Volkswagen,3500.0,other,304,1.9,Diesel,no,2006,Lancer X
952,Mercedes-Benz,6500.0,sedan,270,2.8,Gas,yes,1999,Trafic
953,Mercedes-Benz,7000.0,sedan,300,4.3,Gas,yes,2000,Vito
954,Renault,10499.0,vagon,121,1.5,Diesel,yes,2013,A6
955,Renault,13900.0,crossover,111,2.5,Gas,yes,2010,GLS 350
956,BMW,6400.0,other,220,2.5,Petrol,yes,1997,Laguna
957,BMW,10800.0,sedan,246,3.0,Diesel,yes,2003,525
958,BMW,12700.0,hatch,130,2.0,Petrol,yes,2007,Outlander XL
959,BMW,38500.0,sedan,140,2.0,Diesel,yes,2012,T6 (Transporter) 
960,Mitsubishi,5999.0,sedan,150,1.6,Petrol,yes,2005,Q5
961,Renault,9500.0,hatch,77,1.6,Petrol,yes,2011,520
962,Volkswagen,12000.0,van,196,2.0,Diesel,yes,2011,A6
963,Mercedes-Benz,38700.0,sedan,117,5.5,Petrol,yes,2010,X5
964,Mercedes-Benz,6900.0,other,311,2.2,Diesel,yes,1999,Q7
965,Audi,24300.0,sedan,43,1.8,Petrol,yes,2012,Multivan
966,Mitsubishi,17700.0,crossover,165,3.0,Gas,yes,2007,Vito
967,Toyota,18999.0,crossover,153,2.7,Gas,yes,2006,GLS 350
968,BMW,8300.0,sedan,200,4.4,Petrol,yes,2001,Trafic
969,Toyota,25000.0,crossover,80,4.0,Gas,yes,2008,Trafic
970,Mitsubishi,12499.0,crossover,142,2.4,Gas,yes,2008,730
971,BMW,2899.0,sedan,340,2.4,Diesel,yes,1988,Megane
972,BMW,19900.0,other,95,4.5,Petrol,yes,2005,Q7
973,Audi,51000.0,crossover,44,3.0,Diesel,yes,2014,Venza
974,Audi,81999.0,crossover,0,2.98,Diesel,yes,2016,Land Cruiser Prado
975,BMW,9500.0,sedan,400,3.5,Gas,yes,1999,Caddy
976,Mitsubishi,10200.0,crossover,99,2.0,Gas,yes,2008,Touareg
977,Mercedes-Benz,5500.0,van,260,2.2,Diesel,no,2004,A6 Allroad
978,Volkswagen,18500.0,sedan,74,1.8,Petrol,yes,2011,Q7
979,Volkswagen,11200.0,van,200,2.5,Diesel,yes,2003,GL 450
980,BMW,3099.0,sedan,320,2.0,Diesel,no,2000,Logan
981,Audi,27300.0,other,65,2.0,Petrol,yes,2011,Avensis
982,Mitsubishi,9700.0,sedan,120,2.4,Gas,yes,2006,Touareg
983,Mitsubishi,18900.0,crossover,127,3.0,Gas,yes,2008,X1
984,Audi,33500.0,crossover,67,2.0,Petrol,yes,2011,Golf V
985,Volkswagen,5500.0,van,400,1.9,Diesel,yes,1995,318
986,Volkswagen,5300.0,sedan,270,1.8,Gas,yes,1997,T5 (Transporter) 
987,Toyota,25500.0,crossover,200,4.0,Petrol,yes,2007,Golf VI
988,Toyota,23660.0,crossover,125,3.5,Gas,yes,2013,S 500
989,Mitsubishi,5900.0,sedan,170,1.6,Petrol,yes,2007,T5 (Transporter) 
990,Volkswagen,15900.0,sedan,150,2.0,Diesel,yes,2012,Caddy
991,Mercedes-Benz,105999.0,crossover,0,2.98,Diesel,yes,2016,Jetta
992,Mercedes-Benz,18500.0,van,170,2.2,Diesel,yes,2010,Sandero
993,BMW,86999.0,crossover,0,3.0,Diesel,yes,2016,S 400
994,BMW,27800.0,sedan,170,2.0,Diesel,yes,2011,520
995,Volkswagen,9000.0,van,275,2.5,Diesel,yes,2002,E-Class
996,Toyota,12200.0,sedan,185,3.5,Petrol,yes,2008,Grand Scenic
997,Toyota,5800.0,sedan,200,2.2,Petrol,yes,1999,Land Cruiser 200
998,Volkswagen,14499.0,van,164,2.0,Diesel,yes,2013,ML 350
999,Audi,37000.0,other,170,3.0,Diesel,yes,2010,Phaeton
1000,Volkswagen,4500.0,hatch,199,1.8,Petrol,yes,1996,Trafic
1001,Audi,6557.85,sedan,327,4.2,Gas,yes,2000,Kangoo
1002,Renault,6800.0,sedan,219,1.6,Gas,yes,2007,Camry
1003,BMW,37900.0,crossover,97,3.0,Diesel,yes,2010,Caddy
1004,Audi,14200.0,sedan,176,3.0,Diesel,yes,2005,Auris
1005,Mitsubishi,9350.0,sedan,94,1.5,Gas,yes,2010,Vito
1006,Toyota,3100.0,hatch,283,1.3,Petrol,yes,1994,Passat B5
1007,Mitsubishi,8400.0,crossover,100,3.2,Diesel,yes,2011,GLE-Class
1008,Audi,30650.0,vagon,35,2.0,Petrol,yes,2013,525
1009,Audi,8800.0,sedan,298,2.4,Gas,yes,1999,E-Class
1010,Mitsubishi,7699.0,crossover,254,3.0,Petrol,yes,2002,Land Cruiser Prado
1011,Renault,6400.0,van,136,1.5,Diesel,yes,2012,Rav 4
1012,Volkswagen,16200.0,hatch,44,1.4,Petrol,yes,2012,A6
1013,Volkswagen,4100.0,sedan,88,1.8,Gas,yes,1993,Vito
1014,Mercedes-Benz,6800.0,sedan,235,2.2,Diesel,yes,1999,Scenic
1015,Volkswagen,10600.0,sedan,75,1.6,Petrol,yes,2012,Pajero Wagon
1016,Toyota,13000.0,crossover,149,2.0,Petrol,yes,2006,A6
1017,Toyota,6500.0,sedan,248,2.0,Petrol,yes,2001,ML 350
1018,Audi,25500.0,vagon,181,3.0,Petrol,yes,2009,Vito
1019,Volkswagen,28000.0,crossover,132,2.0,Diesel,yes,2011,550
1020,Audi,3500.0,sedan,200,2.5,Diesel,no,2001,Kangoo
1021,Volkswagen,14899.0,van,165,2.0,Diesel,yes,2013,Rav 4
1022,BMW,3500.0,sedan,300,3.0,Diesel,no,1999,Kangoo
1023,BMW,3500.0,sedan,272,2.0,Diesel,yes,2000,Pajero Wagon
1024,Volkswagen,71138.0,crossover,0,3.0,Diesel,yes,2016,Caddy
1025,Renault,9658.94,sedan,1,1.2,Petrol,yes,2016,E-Class
1026,Volkswagen,13000.0,van,178,2.5,Diesel,yes,2007,Touareg
1027,Toyota,8000.0,hatch,115,1.6,Petrol,yes,2007,Highlander
1028,BMW,56500.0,crossover,1,2.0,Diesel,yes,2016,ASX
1029,Renault,9700.0,vagon,114,1.5,Diesel,yes,2012,T4 (Transporter)
1030,Mercedes-Benz,7300.0,hatch,176,1.4,Petrol,yes,2004,GLE-Class
1031,Renault,9000.0,vagon,190,1.5,Diesel,yes,2009,Kangoo
1032,Volkswagen,17900.0,sedan,96,2.5,Petrol,yes,2013,730
1033,Volkswagen,10700.0,sedan,147,2.0,Petrol,yes,2007,CLS 350
1034,Mercedes-Benz,11600.0,sedan,186,3.2,Petrol,yes,2003,Sienna
1035,Volkswagen,15000.0,van,275,2.5,Diesel,yes,2008,Land Cruiser Prado
1036,Volkswagen,8350.0,hatch,200,1.4,Petrol,yes,2005,T4 (Transporter)
1037,Mercedes-Benz,7700.0,sedan,199,5.0,Petrol,yes,1996,Vito
1038,BMW,47000.0,other,5,2.0,Petrol,yes,2014,T4 (Transporter) 
1039,Mitsubishi,17499.0,crossover,149,3.0,Gas,yes,2008,X5
1040,Renault,11300.0,vagon,141,1.5,Diesel,yes,2013,Laguna
1041,Toyota,8500.0,sedan,168,1.6,Petrol,yes,2008,523
1042,Mercedes-Benz,14490.0,vagon,212,2.2,Diesel,yes,2008,B 200
1043,Volkswagen,11999.0,van,176,2.0,Diesel,yes,2011,X5
1044,Volkswagen,4300.0,hatch,217,1.6,Gas,yes,1997,Q7
1045,BMW,35500.0,crossover,33,2.0,Diesel,yes,2014,Polo
1046,Toyota,2800.0,other,421,1.3,Gas,yes,1988,Vito
1047,BMW,37976.25,sedan,0,2.0,Petrol,yes,2016,E-Class
1048,Renault,10500.0,van,183,2.5,Diesel,yes,2006,Caddy
1049,Toyota,74999.0,crossover,1,4.5,Diesel,yes,2016,Vento
1050,Renault,7300.0,van,125,1.5,Diesel,yes,2012,T5 (Transporter) 
1051,Mitsubishi,12200.0,crossover,140,2.4,Petrol,yes,2007,520
1052,Mercedes-Benz,13600.0,van,199,2.2,Diesel,yes,2009,Kangoo
1053,Audi,5000.0,sedan,280,2.3,Gas,yes,1992,S 400
1054,Renault,12800.0,other,188,2.0,Diesel,yes,2008,Caddy
1055,Volkswagen,12499.0,other,184,2.0,Diesel,yes,2012,Kangoo
1056,Mitsubishi,2800.0,sedan,150,2.0,Gas,yes,1996,Kangoo
1057,Renault,7300.0,van,200,1.5,Diesel,yes,2007,A4
1058,Mitsubishi,6800.0,sedan,82,2.0,Petrol,yes,2007,520
1059,Mitsubishi,9500.0,crossover,225,2.4,Gas,yes,2004,Polo
1060,Audi,15900.0,hatch,160,1.4,Petrol,yes,2011,Golf II
1061,Volkswagen,8900.0,other,180,1.9,Diesel,yes,2010,Outlander
1062,Toyota,16030.0,sedan,90,2.5,Gas,yes,2012,525
1063,BMW,28000.0,sedan,170,2.0,Diesel,yes,2011,Q7
1064,Audi,10700.0,vagon,222,2.5,Diesel,yes,2005,T4 (Transporter)
1065,Mercedes-Benz,7000.0,sedan,230,2.0,Gas,yes,2000,A6
1066,Volkswagen,8800.0,van,260,2.5,Diesel,yes,2008,Touran
1067,Volkswagen,35000.0,crossover,20,2.0,Diesel,yes,2014,E-Class
1068,Audi,8000.0,vagon,200,2.7,Diesel,yes,2006,E-Class
1069,Mercedes-Benz,15400.0,sedan,260,2.2,Diesel,yes,2008,Megane
1070,Volkswagen,7650.0,sedan,325,1.8,Gas,yes,2003,Koleos
1071,Mitsubishi,10600.0,crossover,52,2.0,Petrol,yes,2008,323
1072,Renault,8200.0,vagon,192,1.5,Diesel,yes,2010,530
1073,BMW,45000.0,sedan,29,2.0,Diesel,yes,2016,118
1074,Volkswagen,5699.0,van,258,2.5,Diesel,yes,2001,520
1075,Mercedes-Benz,13200.0,van,217,3.7,Gas,yes,2005,Lancer
1076,Volkswagen,11500.0,van,70,2.0,Diesel,yes,2013,Megane
1077,Volkswagen,12700.0,van,213,2.0,Diesel,yes,2012,T5 (Transporter) 
1078,Volkswagen,12300.0,hatch,62,1.4,Petrol,yes,2012,S 550
1079,Mercedes-Benz,35500.0,sedan,100,3.5,Petrol,yes,2010,ML 63 AMG
1080,Audi,15500.0,sedan,210,2.0,Diesel,yes,2008,Vito
1081,Mercedes-Benz,33000.0,crossover,109,2.2,Diesel,yes,2012,A4
1082,BMW,6500.0,sedan,280,2.0,Petrol,yes,1997,Pajero Wagon
1083,Volkswagen,2350.0,sedan,11,1.9,Other,no,2000,Land Cruiser Prado
1084,Volkswagen,17900.0,crossover,130,3.6,Gas,yes,2007,740
1085,BMW,34500.0,other,160,3.0,Diesel,yes,2010,FJ Cruiser
1086,Renault,12300.0,sedan,99,2.5,Petrol,yes,2011,Passat B7
1087,Mercedes-Benz,20500.0,sedan,193,3.5,Other,yes,2006,Outlander XL
1088,BMW,75555.0,sedan,30,4.4,Petrol,yes,2014,524
1089,Toyota,12800.0,sedan,145,2.4,Petrol,yes,2008,645
1090,Mercedes-Benz,12800.0,other,360,2.2,Diesel,yes,2008,Q7
1091,Audi,6900.0,sedan,327,3.7,Petrol,yes,1997,Q7
1092,Volkswagen,17200.0,crossover,220,2.5,Diesel,yes,2006,735
1093,Renault,6800.0,sedan,87,1.4,Petrol,yes,2013,Outlander
1094,Audi,14300.0,other,80,4.2,Petrol,yes,2004,Vito
1095,Volkswagen,11600.0,sedan,169,1.4,Gas,no,2013,Passat CC
1096,Volkswagen,11990.0,van,231,2.5,Diesel,yes,2002,T4 (Transporter)
1097,BMW,77777.0,sedan,8,4.4,Petrol,yes,2014,320
1098,Mercedes-Benz,28500.0,other,65,1.8,Petrol,yes,2011,TT
1099,Audi,42700.0,crossover,75,3.0,Diesel,yes,2013,Jetta
1100,Volkswagen,6950.0,other,217,1.9,Diesel,yes,2006,Galant
1101,Volkswagen,7300.0,hatch,117,1.4,Petrol,yes,2007,Pajero Wagon
1102,Mitsubishi,27565.2,crossover,1,2.5,Diesel,yes,2016,Q5
1103,Volkswagen,12900.0,vagon,145,1.6,Diesel,yes,2011,T4 (Transporter)
1104,Volkswagen,5900.0,sedan,217,2.3,Petrol,yes,1999,Passat B5
1105,Mercedes-Benz,2600.0,hatch,111,1.4,Petrol,no,1999,Land Cruiser Prado
1106,Audi,2799.0,vagon,390,1.9,Diesel,no,1998,Highlander
1107,Mitsubishi,21000.0,crossover,98,2.5,Diesel,yes,2011,Golf II
1108,Audi,4999.0,sedan,231,1.9,Diesel,no,2002,Lancer
1109,Volkswagen,6900.0,sedan,160,1.6,Petrol,yes,2003,Passat B7
1110,Mercedes-Benz,5800.0,sedan,366,3.2,Gas,yes,1991,GLE-Class
1111,Mitsubishi,15700.0,other,68,1.8,Petrol,yes,2011,Vito
1112,Volkswagen,74500.0,crossover,0,3.0,Diesel,yes,2015,X6
1113,Mercedes-Benz,22900.0,sedan,131,5.5,Gas,yes,2008,520
1114,Mercedes-Benz,32000.0,crossover,96,3.5,Petrol,yes,2010,T4 (Transporter)
1115,Mercedes-Benz,35300.0,sedan,3,1.6,Petrol,yes,2014,Camry
1116,Volkswagen,6900.0,sedan,320,1.8,Gas,yes,2002,Camry
1117,BMW,7000.0,sedan,286,2.8,Petrol,yes,2001,T5 (Transporter) 
1118,Volkswagen,35800.0,crossover,92,3.0,Diesel,yes,2011,Q7
1119,Volkswagen,10700.0,hatch,60,1.4,Petrol,yes,2010,Golf III
1120,BMW,23999.0,crossover,194,3.0,Petrol,yes,2007,A8
1121,Volkswagen,2700.0,hatch,300,1.9,Diesel,no,2000,Megane
1122,Toyota,18200.0,crossover,146,2.7,Gas,yes,2006,X6
1123,Audi,2450.0,vagon,325,2.5,Diesel,no,2000,A6
1124,Audi,15800.0,hatch,123,1.4,Petrol,yes,2010,Lancer X
1125,Volkswagen,9400.0,vagon,176,1.9,Diesel,yes,2005,Passat B2
1126,Mitsubishi,5800.0,vagon,230,1.6,Petrol,yes,2005,Corolla
1127,Volkswagen,13499.0,sedan,162,1.4,Petrol,yes,2012,Pajero Wagon
1128,Volkswagen,39615.0,sedan,0,2.0,Diesel,yes,2016,A4 Allroad
1129,Toyota,23300.0,crossover,40,2.0,Petrol,yes,2014,A6
1130,Audi,2100.0,sedan,217,1.9,Diesel,no,1996,S 500
1131,Mercedes-Benz,2700.0,sedan,337,2.3,Gas,yes,1988,Pajero Sport
1132,Volkswagen,6700.0,van,16,2.0,Diesel,yes,2005,Kangoo
1133,BMW,43163.25,crossover,0,2.0,Diesel,yes,2016,Golf VI
1134,Toyota,28350.0,crossover,92,2.2,Diesel,yes,2013,Vento
1135,Toyota,29500.0,crossover,90,2.7,Gas,yes,2010,C-Class
1136,Volkswagen,8200.0,sedan,258,1.9,Diesel,yes,2004,Polo
1137,Mercedes-Benz,10999.0,other,269,2.2,Diesel,yes,2006,Rav 4
1138,Renault,8299.0,sedan,19,1.2,Petrol,yes,2013,Avensis
1139,Toyota,20500.0,sedan,105,2.5,Petrol,yes,2013,A6 Allroad
1140,Volkswagen,14500.0,van,168,2.0,Diesel,yes,2012,Amarok
1141,Toyota,17300.0,other,135,3.5,Gas,yes,2009,Corolla
1142,Mercedes-Benz,18700.0,sedan,105,5.5,Petrol,yes,2006,A8
1143,Toyota,13200.0,sedan,38,1.33,Petrol,yes,2014,Caddy
1144,Volkswagen,2450.0,sedan,200,1.3,Gas,yes,1991,530
1145,Audi,55000.0,hatch,24,2.8,Other,yes,2014,320
1146,Toyota,20000.0,van,135,2.4,Gas,yes,2006,Touareg
1147,Volkswagen,4000.0,hatch,266,1.9,Diesel,yes,1993,Logan
1148,Mitsubishi,16900.0,other,120,3.0,Petrol,yes,2008,T6 (Transporter)
1149,Mitsubishi,11450.0,sedan,60,1.6,Gas,yes,2012,Corolla
1150,Mercedes-Benz,24500.0,crossover,236,5.0,Petrol,yes,2000,X5
1151,Renault,12350.0,sedan,64,2.0,Gas,yes,2011,Kangoo
1152,Mercedes-Benz,6900.0,sedan,239,2.3,Petrol,yes,1996,A 140
1153,Toyota,30500.0,crossover,40,2.7,Petrol,yes,2011,Megane
1154,Mitsubishi,8800.0,sedan,105,2.0,Gas,yes,2008,Passat B7
1155,Audi,9700.0,sedan,249,2.5,Diesel,yes,2004,Passat B6
1156,BMW,63500.0,crossover,33,3.0,Petrol,yes,2015,E-Class
1157,Mitsubishi,8900.0,sedan,96,2.0,Petrol,yes,2008,T5 (Transporter)
1158,Audi,1950.0,vagon,210,1.8,Gas,no,1996,Golf V
1159,Audi,4400.0,sedan,190,2.5,Diesel,no,2003,S 500
1160,Toyota,12450.0,sedan,162,3.5,Gas,yes,2007,Z4
1161,Audi,3200.0,sedan,295,2.5,Diesel,no,2000,A8
1162,Audi,12600.0,sedan,294,3.0,Gas,yes,2004,Pajero Wagon
1163,Mercedes-Benz,4400.0,sedan,225,2.0,Gas,yes,1995,Megane
1164,Mercedes-Benz,3900.0,sedan,111,2.5,Diesel,yes,1989,Corolla
1165,Volkswagen,8499.0,sedan,101,1.6,Petrol,yes,2012,E-Class
1166,Mercedes-Benz,8000.0,other,230,2.2,Diesel,yes,2001,T5 (Transporter) 
1167,Volkswagen,3500.0,hatch,250,1.9,Diesel,no,2000,Golf III
1168,Audi,11900.0,sedan,195,2.4,Gas,yes,2005,X1
1169,Toyota,24800.0,sedan,43,2.5,Gas,yes,2015,Corolla
1170,Audi,3800.0,vagon,190,2.5,Diesel,no,2002,520
1171,Volkswagen,7500.0,van,230,1.9,Diesel,yes,2006,Trafic
1172,BMW,8999.0,sedan,270,2.8,Petrol,yes,1998,Land Cruiser 200
1173,Volkswagen,5000.0,van,326,2.4,Diesel,yes,1995,Kangoo
1174,Mercedes-Benz,21000.0,crossover,135,3.5,Petrol,yes,2007,Outlander XL
1175,Renault,4200.0,van,142,1.9,Diesel,yes,2007,Land Cruiser 200
1176,Mitsubishi,18000.0,crossover,160,3.2,Diesel,yes,2007,Vito
1177,Volkswagen,8500.0,van,220,2.5,Diesel,yes,2003,100
1178,Renault,3750.0,hatch,232,1.8,Petrol,yes,1997,Trafic
1179,Volkswagen,9000.0,other,212,2.0,Gas,yes,2007,T6 (Transporter) 
1180,Mitsubishi,6300.0,crossover,235,3.2,Diesel,no,2001,Galant
1181,BMW,8400.0,sedan,297,2.2,Petrol,yes,2000,Megane
1182,Volkswagen,17000.0,van,157,2.0,Diesel,yes,2010,Lancer
1183,Volkswagen,3000.0,sedan,240,1.8,Petrol,yes,1991,Outlander
1184,Mercedes-Benz,21300.0,crossover,114,4.7,Petrol,yes,2007,A3
1185,BMW,16500.0,crossover,230,3.0,Gas,yes,2004,Caddy
1186,Mercedes-Benz,7300.0,other,250,2.2,Diesel,yes,2005,Camry
1187,Mercedes-Benz,2300.0,sedan,300,3.0,Diesel,yes,1999,520
1188,BMW,8200.0,sedan,250,4.4,Petrol,yes,1997,A6
1189,Audi,35000.0,sedan,61,2.8,Petrol,yes,2012,X5
1190,Volkswagen,7800.0,vagon,193,1.9,Diesel,yes,2002,E-Class
1191,Volkswagen,8200.0,hatch,157,1.6,Petrol,yes,2008,T5 (Transporter) 
1192,Audi,39999.0,crossover,45,2.0,Diesel,yes,2014,Tiguan
1193,Renault,11900.0,other,173,2.0,Diesel,yes,2012,A6
1194,Mercedes-Benz,3600.0,sedan,276,2.7,Diesel,no,2001,E-Class
1195,Volkswagen,3399.0,sedan,201,1.8,Petrol,yes,1991,Passat B5
1196,BMW,2650.0,vagon,335,2.0,Petrol,no,2000,Outlander
1197,Mercedes-Benz,11700.0,hatch,103,1.5,Petrol,yes,2007,Logan
1198,BMW,2550.0,vagon,312,2.5,Diesel,no,1999,T4 (Transporter)
1199,Mercedes-Benz,2550.0,vagon,367,3.2,Diesel,no,2000,520
1200,Audi,31700.0,sedan,32,1.8,Petrol,yes,2014,T4 (Transporter) 
1201,Mercedes-Benz,125000.0,sedan,18,3.0,Diesel,yes,2015,Viano
1202,BMW,20500.0,crossover,285,4.8,Petrol,yes,2006,Caddy
1203,Mitsubishi,2600.0,other,200,2.4,Petrol,no,2002,528
1204,BMW,2500.0,vagon,250,2.5,Diesel,no,2000,T5 (Transporter) 
1205,Mercedes-Benz,13200.0,van,182,2.2,Diesel,yes,2011,E-Class
1206,Mercedes-Benz,31000.0,crossover,220,3.2,Diesel,yes,2008,Polo
1207,Audi,30900.0,vagon,118,2.0,Petrol,yes,2013,S 350
1208,Mitsubishi,4750.0,sedan,167,1.6,Petrol,yes,2003,A4
